nome,Rondônia,Acre,Amazonas,Roraima,Pará,Amapá,Tocantins,Maranhão,Piauí,Ceará,Rio Grande do Norte,Paraíba,Pernambuco,Alagoas,Sergipe,Bahia,Minas Gerais,Espírito Santo,Rio de Janeiro,São Paulo,Paraná,Santa Catarina,Rio Grande do Sul,Mato Grosso do Sul,Mato Grosso,Goiás,Distrito Federal
Rondônia,0.0,1192216.0,1842189.0,1870422.5,2918452.8,4206074.4,3028312.2,3647020.5,3993941.6,4426760.7,4842880.5,4546543.9,4440390.4,4305729.1,4172360.1,3556145.2,3013800.2,3520047.9,3333324.9,2712899.9,2863284.9,3210754.3,3411913.5,2068751.2,1373592.2,2158990.5,2435659.6
Acre,1192216.0,0.0,2439188.4,2467421.9,2736015.4,4803073.9,4020854.9,4639563.1,4986484.2,5419303.3,5835423.2,5539086.5,5432933.1,5298271.8,5164902.7,4548687.8,4006342.9,4512590.5,4325867.6,3705442.5,3855827.6,4203296.9,4404456.1,3061293.8,2366134.9,3151533.2,3428202.2
Amazonas,1842189.0,2439188.4,0.0,1359753.3,2985041.7,3695405.2,4671788.4,5290496.7,5637417.8,6070236.9,6486356.7,6190020.1,6083866.6,5949205.3,5815836.3,5199621.4,4657276.4,5163524.1,4976801.1,4356376.1,4506761.1,4854230.5,5055389.7,3712227.4,3017068.4,3802466.7,4079135.8
Roraima,1870422.5,2467421.9,1359753.3,0.0,3012039.4,2448443.4,4698786.1,5317494.3,5664415.4,6097234.5,6513354.4,6217017.7,6110864.3,5976203.0,5842833.9,5226619.0,4684274.1,5190521.7,5003798.7,4383373.7,4533758.8,4881228.1,5082387.3,3739225.0,3044066.1,3829464.4,4106133.4
Pará,2918452.8,2736015.4,2985041.7,3012039.4,0.0,1355547.0,1202767.9,1108285.8,1610866.2,1914778.4,2389934.9,2401754.3,2254491.3,2490823.4,2518989.7,2329829.1,2590972.5,3240549.1,3134150.9,2722536.6,3180436.5,3529808.3,3972852.0,2863869.0,1641823.0,1988909.7,2014201.4
Amapá,4206074.4,4803073.9,3695405.2,2448443.4,1355547.0,0.0,2358666.5,2264184.5,2766764.9,3070677.1,3545833.5,3557652.9,3410389.9,3646722.1,3674888.3,3485727.7,3746871.2,4396447.8,7341130.8,6720705.8,6871090.8,7218560.2,7419719.3,6076557.1,2275399.5,6166796.4,3170100.0
Tocantins,3028312.2,4020854.9,4671788.4,4698786.1,1202767.9,2358666.5,0.0,713593.5,1216174.0,1520086.1,1995242.6,2007062.0,1859799.0,1922810.4,1789441.4,1173226.5,1483632.9,2099357.1,2026811.3,1615197.0,2073096.9,2422468.7,2865512.3,1756529.4,1400535.7,881570.0,906861.8
Maranhão,3647020.5,4639563.1,5290496.7,5317494.3,1108285.8,2264184.5,713593.5,0.0,502580.4,806492.6,1281649.1,1293468.4,1146205.4,1382537.6,1410703.9,1493321.0,2102357.0,2398927.5,2645535.4,2233921.1,2691821.0,3041192.8,3484236.4,2375253.5,1932817.4,1500294.2,1525585.9
Piauí,3993941.6,4986484.2,5637417.8,5664415.4,1610866.2,2766764.9,1216174.0,502580.4,0.0,482619.3,898739.2,787635.5,640372.5,876704.7,904870.9,1077171.5,1984320.6,1893094.6,2337517.1,2424079.9,2877197.1,3250056.2,3693099.9,2607706.6,2435601.9,1846868.0,1570236.4
Ceará,4426760.7,5419303.3,6070236.9,6097234.5,1914778.4,3070677.1,1520086.1,806492.6,482619.3,0.0,429772.9,561164.5,587008.0,874981.4,903147.6,1284644.2,1982597.3,1891371.3,2335793.8,2857132.8,3310250.0,3683109.2,4126152.9,3040759.6,2739268.5,2279921.0,2003289.4
Rio Grande do Norte,4842880.5,5835423.2,6486356.7,6513354.4,2389934.9,3545833.5,1995242.6,1281649.1,898739.2,429772.9,0.0,302794.6,474003.0,712024.5,785060.3,1368280.6,2066233.7,1975007.7,2419430.2,2907707.4,3433570.3,3733683.8,4176727.4,3278597.9,3214778.2,2695000.5,2418368.9
Paraíba,4546543.9,5539086.5,6190020.1,6217017.7,2401754.3,3557652.9,2007062.0,1293468.4,787635.5,561164.5,302794.6,0.0,226606.8,409793.6,519510.3,1205167.1,1792122.7,1714123.9,2145319.2,2633596.4,3159459.3,3459572.8,3902616.4,3004486.9,3226207.6,2441278.5,2164646.9
Pernambuco,4440390.4,5432933.1,6083866.6,6110864.3,2254491.3,3410389.9,1859799.0,1146205.4,640372.5,587008.0,474003.0,226606.8,0.0,278665.4,369110.3,1058243.8,1756196.8,1664970.8,2109393.4,2597670.6,3123533.5,3423646.9,3866690.6,2968561.0,3079284.3,2294355.2,2017723.6
Alagoas,4305729.1,5298271.8,5949205.3,5976203.0,2490823.4,3646722.1,1922810.4,1382537.6,876704.7,874981.4,712024.5,409793.6,278665.4,0.0,213648.7,922661.2,1548290.0,1424975.6,1901486.6,2389763.8,2915626.7,3215740.1,3658783.8,2760654.2,3406886.2,2158772.6,1882141.0
Sergipe,4172360.1,5164902.7,5815836.3,5842833.9,2518989.7,3674888.3,1789441.4,1410703.9,904870.9,903147.6,785060.3,519510.3,369110.3,213648.7,0.0,790305.1,1415934.0,1292619.5,1769130.5,2257407.7,2783270.6,3083384.1,3526427.7,2628298.2,3274530.2,2026416.6,1749785.0
Bahia,3556145.2,4548687.8,5199621.4,5226619.0,2329829.1,3485727.7,1173226.5,1493321.0,1077171.5,1284644.2,1368280.6,1205167.1,1058243.8,922661.2,790305.1,0.0,770978.2,983710.9,1265781.2,1612451.9,2138314.8,2438428.3,2881471.9,1983342.4,2657745.5,1409631.9,1133000.3
Minas Gerais,3013800.2,4006342.9,4657276.4,4684274.1,2590972.5,3746871.2,1483632.9,2102357.0,1984320.6,1982597.3,2066233.7,1792122.7,1756196.8,1548290.0,1415934.0,770978.2,0.0,742105.9,668855.5,900271.1,1426134.0,1613744.4,2169291.1,1294681.3,2112722.4,864608.8,608064.2
Espírito Santo,3520047.9,4512590.5,5163524.1,5190521.7,3240549.1,4396447.8,2099357.1,2398927.5,1893094.6,1891371.3,1975007.7,1714123.9,1664970.8,1424975.6,1292619.5,983710.9,742105.9,0.0,622228.0,1326298.3,1768318.6,1842357.5,2366006.6,1905034.0,2618772.9,1515748.7,1259204.2
Rio de Janeiro,3333324.9,4325867.6,4976801.1,5003798.7,3134150.9,7341130.8,2026811.3,2645535.4,2337517.1,2335793.8,2419430.2,2145319.2,2109393.4,1901486.6,1769130.5,1265781.2,668855.5,622228.0,0.0,858869.8,1271236.6,1345275.6,1868924.6,1534420.5,2434896.8,1410109.6,1153565.0
São Paulo,2712899.9,3705442.5,4356376.1,4383373.7,2722536.6,6720705.8,1615197.0,2233921.1,2424079.9,2857132.8,2907707.4,2633596.4,2597670.6,2389763.8,2257407.7,1612451.9,900271.1,1326298.3,858869.8,0.0,596227.0,884050.3,1327094.0,710314.7,1815277.8,809899.7,899472.3
Paraná,2863284.9,3855827.6,4506761.1,4533758.8,3180436.5,6871090.8,2073096.9,2691821.0,2877197.1,3310250.0,3433570.3,3159459.3,3123533.5,2915626.7,2783270.6,2138314.8,1426134.0,1768318.6,1271236.6,596227.0,0.0,442506.4,807721.5,797185.1,1963273.5,1266694.0,1351815.2
Santa Catarina,3210754.3,4203296.9,4854230.5,4881228.1,3529808.3,7218560.2,2422468.7,3041192.8,3250056.2,3683109.2,3733683.8,3459572.8,3423646.9,3215740.1,3083384.1,2438428.3,1613744.4,1842357.5,1345275.6,884050.3,442506.4,0.0,587402.1,1143721.5,2309809.9,1616607.7,1724914.4
Rio Grande do Sul,3411913.5,4404456.1,5055389.7,5082387.3,3972852.0,7419719.3,2865512.3,3484236.4,3693099.9,4126152.9,4176727.4,3902616.4,3866690.6,3658783.8,3526427.7,2881471.9,2169291.1,2366006.6,1868924.6,1327094.0,807721.5,587402.1,0.0,1345721.6,2511810.0,2060853.2,2169159.9
Mato Grosso do Sul,2068751.2,3061293.8,3712227.4,3739225.0,2863869.0,6076557.1,1756529.4,2375253.5,2607706.6,3040759.6,3278597.9,3004486.9,2968561.0,2760654.2,2628298.2,1983342.4,1294681.3,1905034.0,1534420.5,710314.7,797185.1,1143721.5,1345721.6,0.0,1170565.1,942507.7,1049455.6
Mato Grosso,1373592.2,2366134.9,3017068.4,3044066.1,1641823.0,2275399.5,1400535.7,1932817.4,2435601.9,2739268.5,3214778.2,3226207.6,3079284.3,3406886.2,3274530.2,2657745.5,2112722.4,2618772.9,2434896.8,1815277.8,1963273.5,2309809.9,2511810.0,1170565.1,0.0,1265216.9,1541885.9
Goiás,2158990.5,3151533.2,3802466.7,3829464.4,1988909.7,6166796.4,881570.0,1500294.2,1846868.0,2279921.0,2695000.5,2441278.5,2294355.2,2158772.6,2026416.6,1409631.9,864608.8,1515748.7,1410109.6,809899.7,1266694.0,1616607.7,2060853.2,942507.7,1265216.9,0.0,289162.0
Distrito Federal,2435659.6,3428202.2,4079135.8,4106133.4,2014201.4,3170100.0,906861.8,1525585.9,1570236.4,2003289.4,2418368.9,2164646.9,2017723.6,1882141.0,1749785.0,1133000.3,608064.2,1259204.2,1153565.0,899472.3,1351815.2,1724914.4,2169159.9,1049455.6,1541885.9,289162.0,0.0
